台積電,18711
台股,5546
指數,4630
美元,3644
美國,3443
AI,3413
上漲,3147
股價,3128
市場,3027
半導體,2919
營收,2699
台灣,2471
晶片,2441
表示,2404
公司,2296
外資,2283
下跌,2256
奈米,2243
製程,2161
預期,1979
今年,1953
投資,1798
法人,1706
漲幅,1698
先進,1681
10,1670
產業,1656
持續,1643
2330,1635
表現,1603
ADR,1545
需求,1540
買超,1514
新高,1507
技術,1482
美股,1477
今天,1470
指出,1421
報導,1409
目前,1363
全球,1362
輝達,1348
晶圓,1287
成長,1268
可能,1219
大漲,1214
早盤,1211
客戶,1197
台北,1186
影響,1164
族群,1130
相關,1113
震盪,1103
鴻海,1096
去年,1094
新台幣,1067
記者,1049
超過,1037
以及,1030
來到,1024
2024年,1000
產能,999
終場,998
其中,993
聯發科,991
未來,966
今日,956
日本,955
帶動,921
交易,917
電子,916
不過,915
包括,906
跌幅,900
封裝,896
類股,889
主要,888
認為,881
開盤,847
代工,838
企業,828
20,820
增加,811
科技,793
2023年,779
發展,776
股市,772
金額,772
歷史,767
預計,758
維持,749
投資人,747
方面,747
蘋果,744
公布,737
營運,737
加上,735
BR,734
預估,732
川普,728
